N° dép.;Puce;Ident. base de données;Nom;Prénom;Né;S;Plage;nc;Départ;Arrivée;Temps;Evaluation;N° club;Nom;Ville;Nat;N° cat.;Court;Long;Num1;Num2;Num3;Text1;Text2;Text3;Adr. nom;Rue;Ligne2;Code Post.;Ville;Tél.;Fax;E-mail;Id/Club;Louée;Engagement;Payé;Circuit N°;Circuit;km;m;Postes du circuit;Pl;Poinçon de départ;Arrivée (P);Poste1;Poinçon1;Poste2;Poinçon2;Poste3;Poinçon3;Poste4;Poinçon4;Poste5;Poinçon5;Poste6;Poinçon6;Poste7;Poinçon7;Poste8;Poinçon8;Poste9;Poinçon9;Poste10;Poinçon10;(peut être plus) ...
24;240334;"";"EH DE TROIS";"";;H;;0;0:00;6:41:40;6:41:40;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;11;;6:41:40;100;55:56;101;1:28:33;33;1:35:18;40;1:57:25;36;2:07:19;31;2:13:11;32;2:20:45;35;2:30:55;38;2:34:02;37;2:38:59;39;2:46:54;34;2:51:42;102;3:01:50;102;3:02:56;44;3:07:48;48;3:10:06;41;3:27:27;42;3:41:23;43;3:46:04;50;3:49:48;45;3:52:44;49;3:58:09;46;4:07:12;47;4:10:40;103;4:24:46;104;4:38:10;105;5:25:25;106;5:41:56;53;5:58:49;51;6:09:41;52;0.00;
19;240329;"";"CSMR BABACOOL";"";;H;;0;0:00;6:43:57;6:43:57;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;12;;6:43:57;100;55:48;101;1:28:20;33;1:39:27;40;1:57:32;36;2:07:15;31;2:13:06;32;2:20:27;35;2:30:36;38;2:33:57;37;2:39:21;39;2:47:11;34;2:51:51;102;3:02:58;44;3:07:57;48;3:10:12;42;3:14:30;41;3:31:46;43;3:48:37;50;3:53:49;46;3:57:36;45;4:02:58;45;4:03:42;49;4:06:14;47;4:09:24;103;4:26:00;104;4:35:37;105;5:25:52;105;5:29:55;106;5:37:32;53;5:56:33;51;0.00;52;0.00;
14;240324;"";"LES BILYBOON";"";;H;;0;0:00;7:28:13;7:28:13;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;13;;7:28:13;100;58:35;101;1:36:23;33;1:43:59;40;2:04:08;36;2:12:57;31;2:19:05;32;2:26:19;35;2:59:17;38;3:03:15;37;3:13:10;39;3:21:53;34;3:26:45;102;3:42:23;47;3:51:34;46;3:56:10;45;4:03:38;50;4:10:35;49;4:19:11;43;4:22:59;42;4:27:05;41;4:41:22;48;5:03:37;44;5:07:57;103;5:19:58;104;5:31:47;105;6:00:10;106;6:12:53;53;6:37:37;51;6:54:16;52;7:11:49;
2;240312;"";"ARF CHALLENGE DES SAISON";"";;H;;0;0:00;7:34:09;7:34:09;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;14;;7:34:09;100;58:53;101;1:28:08;101;1:35:03;33;1:41:58;31;2:11:58;32;2:28:12;36;2:41:01;40;3:06:04;38;3:13:49;35;3:20:50;37;3:29:05;39;3:41:04;34;3:47:09;102;4:02:21;44;4:06:35;48;4:08:57;42;4:15:58;41;4:27:50;43;4:45:02;50;4:51:24;46;4:55:34;47;5:00:13;45;5:08:19;49;5:11:12;103;5:25:17;104;5:35:05;105;6:02:14;106;6:18:15;53;6:47:22;51;7:01:39;52;0.00;
1;240311;"";"LES AMUSES GEULES";"";;H;;0;0:00;7:54:09;7:54:09;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";0;;"";"";;;15;;7:54:09;100;58:30;101;2:28:12;40;3:01:14;38;3:10:22;102;3:39:46;47;3:50:45;49;3:58:43;45;4:11:12;43;4:16:43;42;4:22:23;41;4:36:48;48;4:57:43;44;5:01:59;103;5:15:41;104;5:31:30;105;6:01:31;106;6:20:09;53;6:45:45;51;7:08:22;52;7:30:26;
16;240326;"";"LES ZOULOUS BLANCS";"";;H;;0;0:00;7:55:03;7:55:03;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;16;;7:55:03;100;1:01:54;101;1:31:13;33;1:40:24;40;2:10:17;37;2:25:37;38;2:50:36;35;2:56:46;39;3:17:35;34;3:26:23;102;3:44:19;47;4:08:51;46;4:13:55;44;4:30:13;48;4:33:44;43;4:39:38;42;4:53:37;41;5:09:48;103;5:51:15;104;6:01:38;105;6:25:25;106;6:41:00;53;7:12:54;51;7:25:35;52;7:40:52;
5;240315;"";"LES ROSEMER";"";;H;;0;0:00;8:32:57;8:32:57;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;17;;8:32:57;100;59:13;101;1:30:17;33;1:39:35;40;1:57:57;36;2:09:56;31;2:15:49;32;2:23:15;38;2:36:30;35;2:51:41;37;3:01:08;39;3:17:07;34;3:21:59;102;3:41:41;44;3:47:20;48;3:50:25;43;3:57:11;41;4:13:22;42;4:28:54;49;4:43:29;50;4:59:47;45;5:03:26;46;5:08:13;47;5:19:48;103;5:36:54;104;5:49:43;105;7:14:12;106;7:23:23;53;7:40:15;51;7:51:06;52;8:10:34;
4;240314;"";"DREAM TEAM FROM MOLSHEIM";"";;H;;0;0:00;9:09:01;9:09:01;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;18;;9:09:01;100;1:08:40;101;1:58:47;40;2:18:05;31;2:29:53;36;2:48:01;32;3:12:26;35;3:29:30;38;3:34:54;37;3:45:48;39;3:57:46;34;4:02:57;102;4:19:07;44;4:26:53;48;4:28:44;42;4:33:10;41;4:45:10;43;5:03:31;49;5:07:59;45;5:22:33;50;5:25:33;46;5:29:25;47;5:33:03;103;5:49:03;104;6:07:55;105;7:03:58;106;7:20:32;53;7:45:25;51;8:21:36;52;8:50:03;
10;240320;"";"TANOOKIS 2";"";;H;;0;0:00;9:15:59;9:15:59;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;19;;9:15:59;100;1:10:51;101;1:54:10;33;2:10:27;40;2:45:25;37;2:55:34;38;3:05:20;35;3:11:58;32;3:17:51;39;3:55:33;34;4:01:53;102;4:24:12;47;4:40:21;46;4:57:26;50;5:09:03;45;5:13:16;49;5:19:05;43;5:27:49;42;5:34:43;41;5:55:10;48;6:23:55;44;6:28:34;103;6:49:00;104;7:08:16;105;7:37:54;105;7:38:05;106;8:00:02;53;8:22:36;51;8:38:12;52;8:59:29;
9;240319;"";"TANOOKIS 1";"";;H;;0;0:00;9:19:13;9:19:13;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;20;;9:19:13;100;1:11:02;101;1:59:15;33;2:11:28;40;2:45:22;37;2:55:25;38;3:05:31;35;3:12:01;32;3:18:24;39;3:55:40;34;4:02:18;34;4:03:31;102;4:25:31;47;4:45:50;46;4:57:11;50;5:08:58;45;5:13:03;49;5:19:01;43;5:27:50;42;5:35:14;41;5:56:54;48;6:24:01;103;6:48:34;104;7:07:39;105;7:37:49;106;8:00:00;53;8:23:20;51;8:39:22;52;8:59:37;
3;240313;"";"TEAM IPPON";"";;H;;0;0:00;9:40:25;9:40:25;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;21;;9:40:25;100;57:27;101;1:36:15;33;1:48:51;40;2:14:25;36;2:26:24;31;2:35:44;32;2:46:09;38;3:03:04;35;3:09:28;37;3:39:40;39;3:52:00;34;3:58:19;102;4:17:25;44;4:26:24;48;4:29:02;42;4:33:16;41;4:45:25;43;5:03:40;49;5:08:13;45;5:38:23;50;5:43:21;46;5:47:41;47;6:08:42;103;6:29:45;104;6:46:45;106;8:03:21;53;8:34:32;51;8:59:53;52;9:18:38;
12;240322;"";"LES FILLES";"";;H;;0;0:00;7:06:45;7:06:45;0;;"";"";"";2;"F";"FG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;1;;7:06:45;100;1:00:33;101;1:52:43;33;2:02:44;40;2:20:34;36;2:29:51;31;2:35:02;32;2:42:15;35;2:59:22;38;3:02:49;37;3:06:34;39;3:15:53;34;3:20:45;102;3:35:56;47;3:43:58;46;3:48:22;50;3:53:06;45;3:56:14;49;4:01:14;43;4:05:15;42;4:09:11;41;4:23:00;48;4:40:34;44;4:44:31;103;4:56:08;104;5:07:37;105;5:39:47;106;5:59:04;53;6:19:20;51;6:30:02;52;6:48:15;
7;240317;"";"NOUS";"";;H;;0;0:00;7:43:12;7:43:12;0;;"";"";"";3;"M";"MG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;1;;7:43:12;100;58:44;101;1:34:05;33;1:49:17;40;2:27:20;36;2:37:27;31;2:53:24;32;3:01:32;38;3:14:39;35;3:22:21;37;3:49:13;39;3:58:45;34;4:03:36;102;4:16:58;44;4:25:08;48;4:28:29;42;4:33:28;41;4:47:57;43;5:15:06;50;5:18:52;45;5:21:42;49;5:26:00;46;5:30:53;47;5:36:34;103;5:51:04;104;6:04:19;106;6:43:53;53;7:02:11;51;7:12:22;52;7:28:17;
25;240335;"";"SALOMON RAID AVENTURE";"";;H;;0;0:00;8:15:47;8:15:47;0;;"";"";"";3;"M";"MG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;2;;8:15:47;100;1:02:04;101;1:36:34;33;1:47:06;40;2:18:37;36;2:32:14;31;2:43:35;32;2:53:26;35;3:06:53;38;3:12:11;37;3:16:50;39;3:41:54;34;4:05:02;102;4:22:07;44;4:29:50;48;4:32:24;43;4:39:00;42;4:43:35;41;4:57:47;49;5:25:34;45;5:29:10;50;5:32:27;46;5:37:16;47;5:43:00;103;6:00:46;104;6:18:14;105;6:48:30;106;7:02:32;53;7:25:26;51;7:39:44;52;7:58:23;
11;240321;"";"TANOOKIS 3";"";;H;;0;0:00;9:16:18;9:16:18;0;;"";"";"";3;"M";"MG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;3;;9:16:18;100;1:13:30;101;1:54:12;33;2:10:46;40;2:45:08;37;2:55:16;38;3:05:37;35;3:12:20;32;3:17:57;39;3:56:19;34;4:02:07;102;4:24:16;47;4:40:18;46;4:57:22;50;5:09:08;45;5:13:08;49;5:18:56;43;5:25:58;42;5:34:39;41;5:54:26;41;5:55:14;48;6:23:51;44;6:28:18;103;6:48:38;104;7:07:19;105;7:37:46;106;7:59:58;53;8:22:42;51;8:37:11;52;8:59:24;
